id,full_name,age,gender,model,color,performance,km,condition,price
1812,Mike Williams,31,Male,Rnessa,Green,177,467335,very good,42671.52
1813,Katie Taylor,47,Female,Juke,Yellow,365,352297,very bad,12840.59
1814,Sophie Williams,57,Genderfluid,Avenir,Yellow,135,594524,new,10787.65
1815,Katie Williams,56,Non-binary,Altima,Gray,302,82635,new,8184.22
1816,Chris Smith,26,Male,Juke,Blue,205,956338,very bad,6362.23
1817,Laura Johnson,37,Polygender,Maxima,Orange,124,124735,new,46874.6
1818,Chris Miller,69,Female,Leaf,Green,367,753738,new,47028.44
1819,Chris Jones,68,Female,Altima,White,257,313144,new,25978.96
1820,,,,,,,,,
1821,Laura Smith,57,Non-binary,Juke,Silver,245,23479,very bad,9805.29
1822,Katie Moore,42,Male,Altima,Black,19,299217,old,45362.42
1823,Sophie Williams,41,Genderfluid,Gloria,Silver,318,635748,bad,10673.92
1824,Katie Taylor,61,Genderfluid,Rnessa,Red,342,229509,very good,46329.6
1825,Alex Wilson,47,Non-binary,Juke,Gray,58,258150,new,47580.64
1826,Emily Wilson,23,Female,Avenir,Silver,322,412046,old,42873.85
1827,Mike Williams,18,Polygender,Quest,Red,345,36505,old,40136.71
1828,Emily Wilson,19,Female,Gloria,Yellow,221,328600,new,30063.78
1829,Sophie Johnson,66,Polygender,Avenir,White,290,140857,very bad,11872.87
1830,,,,,,,,,
1831,Sophie Jones,22,Non-binary,Leaf,Gray,283,503415,very bad,15308.54
1832,David Wilson,59,Male,Gloria,Red,264,716913,bad,8041.84
1833,Chris Jones,47,Male,Avenir,Red,157,574971,bad,20145.4
1834,Mike Smith,25,Female,Gloria,Green,31,234163,very good,24094.28
1835,Sophie Miller,38,Genderfluid,Juke,Purple,29,83274,bad,15110.95
1836,Laura Williams,52,Female,Maxima,Silver,285,316606,very good,7041.86
1837,Katie Miller,24,Polygender,Avenir,Blue,52,313067,bad,7988.31
1838,Sophie Wilson,36,Female,Rnessa,Black,275,360085,very bad,12315.65
1839,,,,,,,,,
1840,Alex Jones,61,Female,Leaf,Gray,304,160029,old,42947.05
1841,Alex Miller,22,Polygender,Quest,Black,56,130598,very bad,28161.32
1842,David Johnson,61,Genderfluid,Leaf,Black,268,389454,bad,45934.22
1843,Katie Miller,29,Male,Leaf,Purple,325,72710,bad,19404.8
1844,,,,,,,,,
1845,Katie Wilson,40,Male,Altima,Green,180,774742,very good,28003.32
1846,Emily Miller,28,Male,Avenir,Blue,240,498532,very good,47073.02
1847,John Taylor,23,Male,Juke,Purple,243,159885,new,44261.75
1848,Mike Davis,29,Male,Pathfinder,Yellow,328,506039,new,34634.71
1849,,,,,,,,,
1850,Laura Smith,27,Polygender,Juke,Purple,116,417896,bad,44375.42
1851,John Smith,34,Male,Quest,Green,26,111021,old,12836.24
1852,Katie Miller,46,Male,Gloria,Black,158,859981,very bad,37618.33
1853,Chris Jones,37,Polygender,Rnessa,Gray,24,461524,very good,18307.47
1854,Emily Williams,62,Female,Avenir,Blue,283,133630,very good,36133.18
1855,Chris Moore,54,Female,Leaf,Gray,334,379810,new,47746.3
1856,Chris Wilson,55,Polygender,Leaf,Orange,325,89051,old,7149.56
1857,Sophie Brown,49,Male,Gloria,Green,143,738267,very bad,48830.95
1858,,,,,,,,,
1859,Laura Miller,52,Polygender,Juke,Yellow,272,277896,very bad,48570.34
1860,Sophie Brown,69,Genderfluid,Rnessa,Gray,167,603398,bad,25237.53
1861,Chris Johnson,37,Male,Gloria,Green,121,845434,new,29872.55
1862,Emily Jones,50,Genderfluid,Leaf,Red,26,465976,very bad,21543.09
1863,Chris Brown,50,Genderfluid,Maxima,Yellow,235,785464,very good,33626.43
1864,Jane Johnson,63,Female,Rnessa,Silver,363,317898,old,40067.2
1865,Sophie Johnson,49,Polygender,Juke,Green,47,969211,very bad,28887.79
1866,Alex Moore,56,Polygender,Maxima,Orange,33,827356,new,30324.09
1867,Sophie Johnson,56,Female,Maxima,Purple,115,54858,new,45932.15
1868,Laura Brown,27,Female,Pathfinder,White,10,146739,old,7270.97
1869,Chris Brown,41,Polygender,Rnessa,Purple,386,955371,very good,32922.58
1870,Chris Wilson,26,Genderfluid,Leaf,White,24,580815,old,16394.19
1871,Chris Brown,18,Polygender,Juke,Yellow,381,344359,bad,25047.45
1872,,,,,,,,,
1873,Mike Williams,27,Genderfluid,Maxima,Purple,97,644105,very good,41879.24
1874,Chris Miller,41,Female,Avenir,White,288,652108,old,7184.81
1875,Sophie Williams,39,Genderfluid,Gloria,White,254,252481,very bad,44796.41
1876,Katie Johnson,57,Female,March / Micra,Purple,118,469343,old,24028.08
1877,Mike Smith,55,Female,Juke,Red,286,287744,old,49258.71
1878,,,,,,,,,
1879,Katie Brown,24,Male,Pathfinder,Red,361,694439,bad,25621.83
1880,,,,,,,,,
1881,Sophie Davis,37,Male,Leaf,Red,391,575723,very good,10069.85
1882,Chris Moore,25,Polygender,Juke,Black,399,643011,very good,41507.39
1883,John Moore,35,Female,Quest,Red,104,988608,old,21625.75
1884,,,,,,,,,
1885,John Smith,62,Polygender,Altima,Gray,398,156038,very bad,47443.93
1886,David Wilson,56,Female,Altima,Red,236,720799,bad,43142.53
1887,Alex Smith,58,Female,Altima,Orange,146,873247,very bad,27001.91
1888,Chris Smith,19,Male,Juke,Silver,122,557852,old,34986.92
1889,Laura Miller,32,Non-binary,Maxima,Gray,357,426329,bad,12109.09
1890,,,,,,,,,
1891,David Johnson,23,Male,Quest,Blue,142,692787,old,17301.53
1892,Laura Davis,18,Polygender,Pathfinder,Purple,39,165905,very bad,18373.33
1893,Sophie Taylor,61,Genderfluid,Maxima,Black,329,92510,very bad,15993.16
1894,Jane Smith,48,Genderfluid,Maxima,Blue,154,28219,very good,38300.69
1895,Alex Wilson,50,Female,Rnessa,Gray,55,786720,old,33979.51
1896,Sophie Johnson,56,Polygender,Maxima,White,388,693558,very bad,11577.86
1897,Sophie Johnson,58,Female,Gloria,Silver,67,299331,very good,9351.9
1898,Sophie Johnson,62,Polygender,Juke,Black,123,161874,old,49332.18
1899,David Williams,27,Polygender,March / Micra,Gray,322,676841,new,39950.53
1900,,,,,,,,,
1901,Mike Davis,45,Genderfluid,Altima,Black,35,371940,new,39489.78
1902,Mike Moore,35,Non-binary,Altima,Black,180,422944,very good,38914.57
1903,Mike Smith,46,Genderfluid,March / Micra,Yellow,53,943863,new,49179.22
1904,John Williams,48,Genderfluid,Quest,Silver,212,255926,bad,33441.15
1905,Alex Wilson,24,Genderfluid,March / Micra,White,314,931247,very bad,42528.29
1906,,,,,,,,,
1907,Emily Johnson,25,Non-binary,Maxima,Silver,3,900893,old,44671.66
1908,Alex Moore,66,Non-binary,Altima,Yellow,56,563683,bad,44136.09
1909,Laura Taylor,29,Polygender,Gloria,White,41,93086,very bad,19185.47
1910,Mike Jones,21,Polygender,Juke,Green,196,22714,bad,11970.32
1911,,,,,,,,,
1912,,,,,,,,,
1913,Katie Brown,49,Genderfluid,Pathfinder,Gray,137,807916,new,21751.92
1914,Sophie Smith,20,Polygender,Maxima,Purple,373,71688,very bad,26755.18
1915,Jane Johnson,62,Genderfluid,Altima,Red,149,941919,very bad,33401.8
1916,Katie Smith,39,Male,Pathfinder,Silver,305,108844,bad,49293.64
1917,Mike Smith,69,Polygender,Avenir,Yellow,326,96731,very good,12329.46
1918,Mike Taylor,52,Polygender,Leaf,Blue,202,487129,old,30974.05
1919,Katie Jones,53,Polygender,Juke,Green,277,914964,old,18775.07
1920,,,,,,,,,
1921,David Wilson,46,Polygender,Rnessa,Red,197,884633,old,41137.41
1922,Katie Miller,49,Male,March / Micra,Purple,393,563431,bad,40710.17
1923,Mike Williams,59,Polygender,Avenir,Purple,340,811275,new,35598.24
1924,David Wilson,46,Female,Leaf,Orange,153,406825,new,30864.19
1925,David Johnson,35,Non-binary,March / Micra,Orange,139,262851,bad,7042.03
1926,Alex Moore,54,Genderfluid,Pathfinder,Green,372,363789,very bad,11805.87
1927,Katie Williams,24,Polygender,Rnessa,Green,21,956192,new,5421.74
1928,David Miller,42,Male,Juke,White,210,613485,very bad,36124.41
1929,Emily Jones,34,Polygender,Leaf,Blue,41,79459,new,19947.4
1930,,,,,,,,,
1931,,,,,,,,,
1932,Katie Taylor,31,Female,Altima,Silver,168,432354,new,26885.26
1933,Laura Taylor,20,Genderfluid,Gloria,Purple,169,939682,very good,28644.34
1934,John Smith,68,Genderfluid,March / Micra,Yellow,138,140131,old,19693.1
1935,David Williams,35,Non-binary,Rnessa,Red,42,964489,very good,36146.08
1936,Mike Brown,18,Genderfluid,Pathfinder,Yellow,142,617991,old,36068.63
1937,,,,,,,,,
1938,Sophie Jones,28,Non-binary,Maxima,Blue,39,986821,bad,19723.19
1939,Sophie Wilson,68,Genderfluid,Leaf,Orange,188,782194,very good,21645.93
1940,,,,,,,,,
1941,Emily Miller,27,Genderfluid,Quest,Silver,74,392556,bad,31181.73
1942,Emily Jones,63,Non-binary,Rnessa,Green,247,649945,new,5050.41
1943,John Taylor,41,Polygender,Maxima,Purple,14,261403,new,5085.97
1944,Sophie Smith,27,Female,Leaf,Red,314,669521,bad,40260.03
1945,Laura Wilson,27,Female,Gloria,Purple,143,37919,bad,23241.37
1946,John Moore,37,Polygender,Quest,Blue,399,46688,very bad,44942.37
1947,Emily Wilson,38,Non-binary,Rnessa,Orange,33,354152,bad,11504.84
1948,Chris Taylor,56,Female,Leaf,Silver,7,643740,bad,47712.14
1949,Chris Jones,60,Female,Pathfinder,Green,130,849602,new,49519.64
1950,Mike Jones,26,Female,Pathfinder,Green,356,164465,new,33283.1
1951,Laura Johnson,36,Male,Gloria,Yellow,72,785124,new,14876.78
1952,Jane Johnson,24,Genderfluid,Rnessa,Black,129,895222,bad,35548.58
1953,Katie Wilson,67,Non-binary,Rnessa,Blue,398,81174,old,12220.87
1954,Chris Davis,20,Genderfluid,Quest,Gray,263,436613,very good,42620.12
1955,John Wilson,64,Genderfluid,Altima,Silver,142,624442,bad,12107.88
1956,Chris Smith,66,Male,Maxima,Green,118,147855,bad,30488.98
1957,,,,,,,,,
1958,Katie Wilson,52,Genderfluid,Rnessa,Gray,198,677411,bad,17382.58
1959,Chris Brown,32,Polygender,March / Micra,Black,45,887403,very bad,7069.59
1960,,,,,,,,,
1961,,,,,,,,,
1962,Alex Wilson,56,Non-binary,Gloria,White,205,966023,bad,5961.08
1963,Alex Smith,58,Non-binary,Maxima,Orange,181,690688,very good,33907.56
1964,Sophie Williams,67,Male,Maxima,Orange,49,961490,new,34498.37
1965,John Miller,40,Non-binary,Juke,Purple,172,986611,bad,18566.03
1966,Jane Miller,50,Genderfluid,Pathfinder,Yellow,377,798501,very bad,23565.71
1967,,,,,,,,,
1968,John Wilson,25,Male,March / Micra,Purple,392,677467,new,26007.99
1969,John Taylor,46,Non-binary,Gloria,Green,138,884232,very bad,38763.32
1970,John Moore,45,Male,Avenir,Blue,348,754734,bad,26586.3
1971,Sophie Miller,20,Male,Rnessa,Blue,396,671271,new,45033.18
1972,Sophie Brown,24,Non-binary,Pathfinder,White,57,7577,very bad,35986.01
1973,Alex Smith,39,Polygender,Pathfinder,Yellow,310,376792,bad,35615.48
1974,Emily Brown,25,Genderfluid,March / Micra,Black,79,941264,new,16506.84
1975,Jane Moore,66,Genderfluid,Avenir,White,277,329885,old,10623.03
1976,Mike Moore,66,Male,Altima,Gray,231,616487,old,29332.49
1977,,,,,,,,,
1978,John Johnson,61,Female,Juke,Purple,102,107482,very bad,28040.45
1979,,,,,,,,,
1980,John Jones,53,Non-binary,Pathfinder,Red,202,378668,old,29810.12
1981,Sophie Smith,37,Genderfluid,Pathfinder,Yellow,381,162518,bad,26211.47
1982,,,,,,,,,
1983,Alex Johnson,54,Genderfluid,Maxima,Orange,176,304526,very good,17892.15
1984,John Davis,64,Genderfluid,Quest,Orange,348,69975,bad,20928.18
1985,Katie Jones,57,Female,Rnessa,Green,296,474659,old,37198.79
1986,John Taylor,50,Male,Quest,Silver,125,71486,new,44361.37
1987,Mike Taylor,46,Non-binary,March / Micra,Green,296,349987,old,11982.31
1988,Jane Miller,36,Polygender,Avenir,Orange,133,19580,bad,41535.02
1989,David Williams,68,Polygender,Juke,Black,322,501151,very bad,44799.65
1990,Jane Miller,38,Female,Maxima,Black,52,458002,very bad,26345.12
1991,John Smith,53,Male,Juke,Purple,236,823993,old,33547.63
1992,Emily Brown,34,Genderfluid,Avenir,Silver,75,699586,new,7936.62
1993,Alex Williams,53,Non-binary,Rnessa,Green,357,916631,very good,35978.8
1994,Emily Johnson,58,Genderfluid,Maxima,Yellow,341,305596,new,12347.6
1995,,,,,,,,,
1996,David Miller,49,Polygender,Maxima,Orange,51,77540,very good,31459.96
1997,,,,,,,,,
1998,Sophie Brown,61,Male,March / Micra,Gray,325,655841,old,6921.78
1999,Emily Wilson,57,Genderfluid,Avenir,Silver,233,362351,bad,24478.15
2000,Chris Taylor,40,Female,Quest,White,317,301808,old,16387.66
2001,Chris Wilson,34,Genderfluid,Pathfinder,Yellow,323,268375,very bad,48457.89
2002,Sophie Moore,31,Female,Gloria,White,326,384212,new,14872.02
2003,Sophie Wilson,28,Polygender,Quest,Gray,316,271902,new,16509.09
2004,David Davis,40,Male,Maxima,Gray,184,472532,bad,27413.24
2005,Mike Williams,30,Genderfluid,Maxima,Purple,322,309248,old,13773.49
2006,Katie Williams,40,Female,Maxima,Yellow,249,564182,bad,35908.72
2007,Alex Jones,59,Male,Juke,Yellow,153,61545,very bad,45348.31
2008,,,,,,,,,
2009,Mike Johnson,53,Female,Rnessa,Yellow,140,872379,new,22446.16
2010,Laura Taylor,18,Non-binary,Pathfinder,Red,310,873737,very bad,19417.83
2011,Laura Taylor,57,Polygender,March / Micra,Gray,399,357207,very good,25863.15
2012,Emily Smith,44,Non-binary,Gloria,Silver,183,447520,very bad,18623.53
2013,Alex Smith,36,Male,Altima,Red,221,198076,very good,42998.08
2014,Mike Moore,39,Non-binary,Gloria,White,341,610685,very bad,42677.75
2015,Mike Williams,58,Male,Rnessa,Blue,183,254899,bad,38169.3
2016,Sophie Brown,18,Non-binary,Leaf,Black,40,521470,old,49879.83
2017,David Davis,39,Genderfluid,Maxima,White,23,101590,bad,14844.17
2018,Katie Taylor,34,Genderfluid,Rnessa,Green,136,805400,very bad,5527.55
2019,David Moore,49,Polygender,Gloria,Blue,309,357831,very bad,49750.05
2020,,,,,,,,,
2021,Laura Miller,48,Polygender,Pathfinder,Green,255,919471,very good,12593.66
2022,Emily Taylor,36,Polygender,Avenir,Yellow,285,666084,very bad,12572.16
2023,Laura Smith,44,Female,Altima,Black,11,288894,very good,39100.31
2024,Jane Wilson,58,Male,Maxima,Red,221,89610,very good,15699.85
2025,Emily Jones,42,Male,Avenir,Red,13,266806,new,37808.47
2026,Jane Smith,30,Female,Juke,Purple,82,701756,very good,48767.36
2027,Chris Davis,45,Female,Leaf,White,302,422455,very good,49726.93
2028,Sophie Johnson,32,Polygender,Altima,Red,172,490121,bad,42187.78
2029,John Taylor,51,Genderfluid,Leaf,White,319,169183,bad,12498.23
2030,Katie Miller,54,Female,Maxima,Gray,378,498914,very good,28709.15
2031,Alex Miller,31,Polygender,Rnessa,Purple,65,753290,old,37294.37
2032,Sophie Williams,43,Female,Avenir,Red,177,986961,old,5488.17
2033,Chris Miller,68,Male,Avenir,Blue,362,493095,very bad,38797.12
2034,Sophie Moore,47,Genderfluid,Gloria,Green,310,72706,new,23091.01
2035,Laura Miller,47,Genderfluid,Quest,Gray,166,831371,bad,26121.14
2036,John Wilson,21,Genderfluid,Avenir,Purple,305,156118,bad,47362.39
2037,Chris Jones,45,Male,Avenir,Green,143,433533,very good,43180.61
2038,Katie Davis,50,Genderfluid,Juke,Orange,99,324232,old,8700.83
2039,Laura Jones,55,Female,Avenir,Black,221,374174,very good,18289.62
2040,John Wilson,26,Male,Pathfinder,White,276,575930,very bad,15944.77
2041,Mike Johnson,67,Polygender,Rnessa,Silver,177,771548,old,17778.47
2042,Katie Brown,66,Male,Pathfinder,White,390,889830,very good,23658.39
2043,Sophie Jones,63,Female,Quest,Purple,175,311868,new,43534.67
2044,Jane Moore,39,Genderfluid,Maxima,Red,395,92668,old,48403
2045,Alex Johnson,51,Genderfluid,Juke,Black,253,86094,new,23367.97
2046,Chris Taylor,60,Polygender,Rnessa,Blue,28,779430,bad,38098.06
2047,Laura Smith,63,Male,Quest,Yellow,74,690253,very good,11852.71
2048,Mike Taylor,23,Polygender,Juke,Black,349,173529,bad,45036.25
2049,John Jones,21,Male,Avenir,White,92,467068,very good,42407.4
2050,Sophie Davis,35,Female,Juke,Orange,340,20099,bad,19715.25
2051,Emily Johnson,57,Non-binary,Quest,Blue,228,267489,very good,31259.25
2052,David Davis,22,Polygender,Gloria,Gray,302,9690,new,44952.42
2053,Sophie Davis,49,Genderfluid,Rnessa,Red,65,848574,new,24752.93
2054,Alex Wilson,59,Non-binary,Gloria,Blue,262,27082,old,45261.13
2055,John Taylor,62,Female,Leaf,Green,44,641876,bad,11415.15
2056,Emily Taylor,18,Non-binary,March / Micra,Orange,123,397991,bad,38064.46
2057,Jane Wilson,43,Male,March / Micra,Green,135,464832,new,40206.33
2058,,,,,,,,,
2059,Chris Jones,67,Genderfluid,Maxima,Red,303,556468,new,13008.01
2060,Sophie Smith,43,Genderfluid,Leaf,Red,48,685182,bad,45523.54
2061,Mike Davis,68,Male,Quest,Red,203,746320,bad,18348.96
2062,Emily Moore,37,Genderfluid,Leaf,Purple,1,410285,new,5514.25
2063,Alex Miller,55,Polygender,Juke,Yellow,274,154841,very good,33261.69
2064,Katie Jones,60,Non-binary,March / Micra,Gray,309,205208,new,6010.25
2065,Chris Williams,56,Genderfluid,Leaf,Blue,314,692184,very good,27480.8
2066,Laura Smith,26,Male,March / Micra,Blue,252,937573,bad,16712.31
2067,Emily Smith,44,Female,Pathfinder,Green,115,164371,bad,22649.71
2068,Emily Taylor,22,Genderfluid,Quest,Silver,250,398264,very good,48413.3
2069,Chris Johnson,50,Genderfluid,Rnessa,Green,346,701089,old,8470.32
2070,Sophie Moore,57,Non-binary,Leaf,Green,164,958400,old,14059.43
2071,Laura Williams,41,Genderfluid,Maxima,Yellow,382,561999,new,36240.56
2072,Sophie Taylor,33,Female,Avenir,Yellow,238,566034,old,25073.57
2073,Jane Williams,42,Polygender,Altima,Black,216,990045,new,37146.87
2074,David Moore,21,Non-binary,Juke,Green,226,841400,very good,33725.84
2075,Jane Moore,28,Male,Gloria,Blue,365,837698,old,35292.85
2076,Jane Miller,64,Polygender,Quest,Orange,120,517228,very good,30490.26
2077,Mike Brown,39,Genderfluid,Avenir,Black,381,492338,new,25960.72
2078,Laura Moore,66,Male,Quest,Gray,89,28622,bad,34733.24
2079,Emily Davis,30,Non-binary,Quest,Red,157,97368,old,26070.93
2080,Sophie Wilson,18,Female,Juke,White,210,647174,very good,11459.75
2081,Laura Smith,51,Female,Leaf,Red,195,755172,very bad,18155.25
2082,Emily Moore,38,Genderfluid,Pathfinder,Purple,146,59563,old,10492.95
2083,,,,,,,,,
2084,Emily Wilson,63,Male,Gloria,Blue,73,951421,bad,26470.29
2085,Sophie Moore,58,Non-binary,Gloria,Gray,358,15988,old,35192.07
2086,Emily Williams,39,Non-binary,Quest,Red,296,669869,very good,27638.35
2087,Mike Miller,64,Polygender,Avenir,Gray,192,195485,very good,29507.19
2088,John Miller,36,Non-binary,Juke,Gray,148,213023,old,38761.69
2089,Mike Jones,65,Non-binary,Gloria,Purple,51,366981,very bad,8778.82
2090,Laura Jones,22,Female,Leaf,Purple,211,614107,old,13679.22
2091,John Brown,24,Female,Leaf,Yellow,180,821488,old,20747.1
2092,Alex Miller,46,Non-binary,Juke,Silver,106,969486,very good,41269.73
2093,Mike Taylor,26,Genderfluid,March / Micra,Purple,321,909013,very bad,5201.87
2094,Jane Jones,59,Non-binary,Gloria,Green,372,116766,very bad,32578.87
2095,Laura Moore,33,Male,Quest,Gray,368,254806,very bad,5625.25
2096,Alex Jones,43,Female,March / Micra,Purple,109,814703,very good,33947.68
2097,Katie Brown,54,Genderfluid,Rnessa,Black,261,948085,new,40014.17
2098,David Taylor,43,Female,Maxima,White,215,129439,new,16668.6
2099,Katie Williams,60,Non-binary,Avenir,Black,380,968203,new,48140.15
2100,Laura Brown,55,Male,March / Micra,Blue,239,694805,bad,21538.44
2101,Laura Taylor,59,Female,Altima,Yellow,230,814528,very bad,33062.1
2102,Chris Johnson,30,Genderfluid,Avenir,Red,294,232649,old,28358.43
2103,David Jones,59,Female,March / Micra,White,64,449363,new,25426.02
2104,Alex Jones,62,Male,Pathfinder,Red,76,390956,old,22860.19
2105,Jane Wilson,42,Genderfluid,Quest,Red,338,963574,very good,6850.46
2106,Sophie Johnson,37,Male,March / Micra,Black,247,670516,old,37764.6
2107,David Williams,56,Male,Gloria,Gray,29,291133,very bad,29103.34
2108,Sophie Wilson,62,Female,Maxima,Blue,98,904335,very good,5721.97
2109,Mike Brown,19,Non-binary,Maxima,Yellow,72,319521,very good,44048.26
2110,Sophie Miller,44,Non-binary,Pathfinder,Yellow,327,783204,new,40043.84
2111,Chris Davis,29,Female,Pathfinder,Green,107,563255,new,40588.05
2112,Alex Johnson,21,Female,Rnessa,Black,352,271949,old,48321.55
2113,Sophie Moore,54,Genderfluid,Juke,Purple,27,621360,very good,28785.46
2114,Emily Smith,32,Polygender,Gloria,Orange,141,803208,very good,15489.58
2115,David Williams,41,Female,Juke,Purple,11,542215,very good,22095.63
2116,,,,,,,,,
2117,Jane Johnson,23,Female,Leaf,Red,244,20955,bad,12212.81
2118,Alex Smith,56,Genderfluid,Maxima,Gray,26,6469,new,15052.29
2119,Chris Wilson,19,Female,Maxima,Orange,218,978299,very bad,42866.65
2120,Jane Davis,19,Genderfluid,Leaf,Black,209,336696,very good,22436.68
2121,John Moore,20,Polygender,Gloria,Yellow,285,773340,very bad,24557.87
2122,John Wilson,48,Female,Leaf,Orange,1,724802,very good,17256.28
2123,Alex Davis,29,Female,Juke,Blue,176,356038,very bad,10747.39
2124,Sophie Johnson,59,Genderfluid,Gloria,Yellow,6,910201,very bad,21242.91
2125,Sophie Davis,66,Male,Gloria,Red,178,26605,new,12586.55
2126,Laura Smith,66,Polygender,Rnessa,Green,74,869439,bad,38994.9
2127,Alex Davis,41,Female,Avenir,Silver,1,554583,bad,41602.83
2128,Alex Smith,56,Male,Rnessa,Black,208,679540,bad,36474.37
2129,Katie Miller,21,Genderfluid,Leaf,Red,2,526253,very good,25631.93
2130,Jane Moore,64,Polygender,Rnessa,Orange,39,36986,bad,20315.49
2131,John Johnson,43,Non-binary,Leaf,Black,21,691762,very bad,15670.1
2132,David Moore,60,Polygender,Rnessa,Yellow,152,94122,new,45667.56
2133,Laura Miller,53,Male,Altima,Blue,308,182348,new,49794.93
2134,David Jones,53,Male,Leaf,Orange,197,203859,new,9378.15
2135,Katie Moore,52,Female,Maxima,Green,60,327325,bad,13909.87
2136,Katie Taylor,30,Non-binary,Leaf,Gray,104,819115,old,8021.17
2137,Jane Smith,24,Male,Juke,Silver,15,18468,old,30876.42
2138,Jane Moore,30,Non-binary,Altima,Black,130,392752,new,24875.19
2139,Katie Brown,22,Non-binary,Altima,Purple,236,842839,old,12004.27
2140,Sophie Johnson,61,Non-binary,Pathfinder,Blue,112,315668,new,42476.21
2141,Jane Davis,44,Polygender,Quest,Orange,305,667598,very good,13691.75
2142,Laura Moore,57,Male,Altima,Gray,156,150218,new,19535.5
2143,John Moore,66,Non-binary,Gloria,Yellow,312,775203,very bad,30405.13
2144,Chris Moore,57,Genderfluid,March / Micra,Purple,15,164020,bad,31590.99
2145,Emily Taylor,60,Female,Quest,Silver,65,659820,old,7893.91
2146,Laura Johnson,19,Female,Altima,Purple,51,56795,bad,14603.54
2147,John Brown,58,Female,Rnessa,Red,4,269628,new,11937.81
2148,Mike Wilson,19,Genderfluid,Juke,Orange,122,683663,new,18125.66
2149,Sophie Moore,52,Genderfluid,Maxima,Blue,315,48340,very good,40059.35
2150,Mike Smith,24,Polygender,Maxima,Silver,133,808784,old,35736.16
2151,Emily Brown,21,Genderfluid,Avenir,Blue,67,278028,old,29952.04
2152,Alex Moore,47,Genderfluid,Quest,Purple,294,254480,old,36027.2
2153,Laura Williams,67,Female,Altima,Yellow,162,822088,new,8874.02
2154,Katie Smith,56,Male,Maxima,Black,247,597395,very bad,39411.5
2155,Emily Wilson,57,Non-binary,Altima,Purple,136,490293,bad,24069.03
2156,David Davis,66,Male,Avenir,Orange,115,119705,old,12109.69
2157,David Johnson,46,Female,Rnessa,Blue,42,645675,very bad,19230.91
2158,Jane Brown,51,Non-binary,Leaf,Blue,298,322525,bad,23874.99
2159,David Williams,66,Male,Rnessa,Blue,148,548723,new,15882.69
2160,,,,,,,,,
2161,,,,,,,,,
2162,Katie Moore,29,Polygender,Rnessa,Yellow,384,441931,very good,5736.25
2163,Jane Davis,32,Male,Rnessa,Silver,367,111495,old,41200.95
2164,Alex Davis,64,Polygender,March / Micra,Yellow,197,223810,very bad,31758.46
2165,Laura Smith,40,Male,Quest,Orange,117,533165,very bad,31967.5
2166,Emily Wilson,57,Non-binary,Rnessa,White,79,130254,very bad,15123.9
2167,,,,,,,,,
2168,Mike Taylor,60,Non-binary,Rnessa,Green,225,267527,very bad,14857.97
2169,Laura Davis,39,Polygender,Leaf,Silver,236,451607,bad,8858.71
2170,Laura Taylor,53,Genderfluid,Altima,Green,117,149300,new,24764.82
2171,Jane Wilson,54,Male,Juke,Purple,381,367030,new,44609.77
2172,Laura Taylor,34,Polygender,March / Micra,Yellow,36,31430,very good,5930.3
2173,Laura Wilson,42,Female,March / Micra,Purple,161,551289,very good,42042.96
2174,Sophie Moore,66,Genderfluid,Pathfinder,Black,112,419869,very bad,37648.96
2175,John Miller,43,Genderfluid,Rnessa,Gray,320,654379,very bad,6808.88
2176,Chris Wilson,23,Male,Avenir,Black,57,561846,very good,39739.29
2177,Chris Smith,21,Non-binary,Pathfinder,Red,195,982065,bad,37905.94
2178,Katie Smith,47,Male,Gloria,Green,96,881368,very good,47948.52
2179,Laura Williams,19,Non-binary,Rnessa,Green,181,750461,old,6899.25
2180,David Williams,49,Female,Maxima,Purple,211,664524,old,10485.34
2181,Chris Taylor,56,Female,March / Micra,Red,157,884478,very bad,21958.32
2182,Sophie Taylor,46,Genderfluid,Avenir,Red,39,728132,very good,23396.5
2183,Alex Taylor,55,Non-binary,Quest,Orange,392,587594,new,11744.84
2184,John Miller,30,Non-binary,Juke,Orange,228,496256,very bad,41557.02
2185,David Williams,52,Genderfluid,Avenir,Red,51,534588,new,19347.52
2186,Alex Miller,52,Polygender,Maxima,Silver,207,46643,very good,6275.91
2187,Sophie Johnson,46,Non-binary,Altima,Gray,107,940456,new,31722.99
2188,Chris Jones,20,Male,Gloria,Orange,153,258825,bad,49260.45
2189,David Brown,37,Polygender,Gloria,Yellow,17,972469,very bad,32027.51
2190,,,,,,,,,
2191,John Brown,22,Non-binary,Altima,Green,184,750193,very good,17771.83
2192,Katie Johnson,66,Genderfluid,Juke,Green,200,793031,very good,39072.54
2193,Alex Taylor,36,Genderfluid,Maxima,Blue,36,117732,very bad,9874.39
2194,Emily Johnson,67,Genderfluid,March / Micra,Green,289,975641,bad,12753.61
2195,Laura Miller,23,Non-binary,March / Micra,Gray,306,136366,new,22127.8
2196,Jane Miller,46,Polygender,March / Micra,Black,171,340780,old,5582.32
2197,David Wilson,20,Non-binary,Gloria,Green,300,982326,old,12634.04
2198,Alex Johnson,34,Non-binary,Altima,Green,58,135895,new,25081.86
2199,Katie Brown,46,Male,Pathfinder,Gray,325,645017,very bad,37402.46
2200,David Jones,21,Male,Avenir,White,360,65827,bad,29536.67
